COLEGIO NACIONAL PRESIDENTE CARLOS A. LOPEZ,1,1,2,1,BELEN,CONCEPCION,MUNICIPIO,20000
ESC. BAS. Nº 2098 NIÑO SALVADOR,1,1,3,1,BELEN,CONCEPCION,COL.EMILIO PEREIRA-MANZ NIÑO SALVAD,208941168
ESC. BAS. Nº 253 TEOFILO MIRANDA Y LIC.NAC.,1,1,4,1,BELEN,CONCEPCION,COL.FDO DE LA MORA,20000
ESC. BAS. Nº 1774,1,1,5,1,BELEN,CONCEPCION,TORALES CUE,10000
ESC. BAS. Nº 1500 PTE. CNEL. RAFAEL FRANCO,1,1,6,1,BELEN,CONCEPCION,COL.EMILIO R.PERIERA-MANZ KM 28-31,6120
ESC. BAS. Nº 1331 Y LIC.NAC SANTA ELENA,1,1,7,1,BELEN,CONCEPCION,COL.EMILIO PEREIRA-MANZ SANTA ELENA,16160
ESC. BAS. Nº 768,1,1,8,1,BELEN,CONCEPCION,COL.FDO DE LA MORA,20000
ESC. BAS. Nº 1889,1,1,9,1,BELEN,CONCEPCION,COL.EMILIO R. PEREIRA,19505
ESC. BAS. Nº 4956,1,1,10,1,BELEN,CONCEPCION,COL.EMILIO PEREIRA-MANZ.SANTA CRUZ,10554
ESC. BAS. Nº 2107,1,1,11,1,BELEN,CONCEPCION,COL.EMILIOR.PEREIRA-MANZ LAGUNA,1250
ESC. BAS. Nº 2099,1,1,12,1,BELEN,CONCEPCION,COL.EMILIO.PEREIRA-MANZ SANTA CRUZ,142563792
ESC. BAS. Nº 2093 SAN LUYIS GONZAGA Y COLEGIO NACIONAL SANTA ELENA,1,1,13,1,BELEN,CONCEPCION,COL.EMILIO PEREIRA-MANZ SAN NICOLAS,219179056
ESC. BAS. Nº 4955 PROF. DR. LUIS MARIA ARGAÑA,1,1,14,1,BELEN,CONCEPCION,COL.EMILIO R.PEREIRA-MANZ KM 28-31,9135
ESC. BAS. Nº 2100,1,1,15,1,BELEN,CONCEPCION,COL.EMILIO R.PEREIRA-JHUGUA OCAMPO,9987
ESC. BAS. Nº 1775,1,1,16,1,BELEN,CONCEPCION,COL.FDO DE MORA-MANZ PASO URUNDEY,10118
ESC. BAS. Nº 1776 Y COLEGIO NACIONAL PEDRO B. ALVARENGA,1,1,17,1,BELEN,CONCEPCION,COL.FDO DE LA MORA,20000
ESC. BAS. Nº 1786 VIRGINIA OSORIO ESTIGARRIBIA,1,1,18,1,BELEN,CONCEPCION,COL.GRAL.DIAZ - POTRERITO,20000
ESC. BAS. Nº 6689 JUAN CECILIO MONTANIA,1,1,19,1,BELEN,CONCEPCION,SANTA ELENA-COL.EMILIO R. PEREIRA,4000
ESC. BAS. Nº 187,1,1,20,1,BELEN,CONCEPCION,MUNICIPIO,30000
ESCUELA COL. FERNANDO DE LA MORA,1,1,21,1,BELEN,CONCEPCION,COL.FDO.DE LA MORA-PEGUAJHO MI,121693760
ESC. BAS. Nº 1775,1,1,22,1,BELEN,CONCEPCION,COL.FDO.DE LA MORA,101201736
ESC. BAS. Nº  1777 SANTO REY,1,1,23,1,BELEN,CONCEPCION,COL.FDO. DE LA MORA KM 16,41987372
ESC. BAS. Nº 2101 WALTER ROGELIO CAVE GAVILAN,1,1,24,1,BELEN,CONCEPCION,COL.FDO. DE LA MORA,15229
ESC. BAS. Nº 6692 NIÑO JESUS,1,1,25,1,BELEN,CONCEPCION,MANZANA PEGUAJHOMI,4023
ESC SALVADOR DEL MUNDO,1,1,26,1,BELEN,CONCEPCION,COL.FERNANDO DE LA MORA,32247236
ESC. BAS. Nº 1785,1,2,1,1,CONCEPCION,CONCEPCION,GRAL. DIAZ,9381
CENTRO INTEGRAL EDUCATIVO NUEVO AMANECER,1,2,2,1,CONCEPCION,CONCEPCION,CONCEPCION,1654
ESC. BAS. Nº 592,1,2,3,1,CONCEPCION,CONCEPCION,ROMERO POTRERO,22605
ESC.SUPERIOR Nº 186 JORGE S. MIRANDA,1,2,4,1,CONCEPCION,CONCEPCION,CONCEPCION,0
M.E.C.,1,2,5,1,CONCEPCION,CONCEPCION,CALERA SAN PEDRO,2500
ESC. BAS. Nº 27 Y COLEGIONAC.AGUSTIN DE PINEDO,1,2,6,1,CONCEPCION,CONCEPCION,CONCEPCION,8500
ESC. BAS. Nº 294 GASPAR RODRIGUEZ DE FRANCIA,1,2,7,1,CONCEPCION,CONCEPCION,ABASTO CUE,10000
ESC. BAS. Nº 500 Y LIC.NAC. SANTA CATALINA,1,2,8,1,CONCEPCION,CONCEPCION,JYUGUA OCAMPO,20000
ESC. BAS. Nº 2088,1,2,9,1,CONCEPCION,CONCEPCION,SAN ANTONIO,3750
ESC. BAS. Nº 840,1,2,10,1,CONCEPCION,CONCEPCION,COE PORA,20000
CENTRO REGIONAL DE EDUCACION,1,2,11,1,CONCEPCION,CONCEPCION,ABASTO CUE,10000
CENTRO REGIONAL DE EDUCACION,1,2,11,2,CONCEPCION,CONCEPCION,MUNICIPIO,34000
ESC. BAS. Nº 841,1,2,12,1,CONCEPCION,CONCEPCION,COE PORA,10550
ESC. BAS. Nº 841,1,2,12,2,CONCEPCION,CONCEPCION,COE PORA,0
ESC. BAS. Nº 2086,1,2,13,1,CONCEPCION,CONCEPCION,GRAL. DIAZ,19600
ESC. BAS. Nº 2085,1,2,14,1,CONCEPCION,CONCEPCION,GRAL. DIAZ,15000
ESC. BAS. Nº 2085,1,2,14,2,CONCEPCION,CONCEPCION,COLONIA GRAL.DIAZ,20000
ESC. BAS. Nº 838,1,2,15,1,CONCEPCION,CONCEPCION,EMILIO PEREIRA,19022
ESC. BAS. Nº 2582,1,2,16,1,CONCEPCION,CONCEPCION,CORONEL MONGES,10000
ESC. BAS. Nº 2087,1,2,17,1,CONCEPCION,CONCEPCION,GRAL. DIAZ,19685
ESC. BAS. Nº 2460 NIÑO MILAGROSO,1,2,18,1,CONCEPCION,CONCEPCION,CHOFERES DEL CHACO,10000
ESC. BAS. Nº 4912 GUSTAVO AGUSTIN GIMENEZ,1,2,19,1,CONCEPCION,CONCEPCION,BARRIO VILLA OLIVA,1680
ESC. BAS. Nº 2322 MARISCAL FRANCISCO S. LOPEZ,1,2,20,1,CONCEPCION,CONCEPCION,SARGENTO JOSE LOPEZ,18115
ESC. BAS. Nº 1722 Y COLEGIO NACIONAL CURUZU ÑU,1,2,21,1,CONCEPCION,CONCEPCION,CURUZU ÑU,15000
ESC. BAS. Nº 595,1,2,22,1,CONCEPCION,CONCEPCION,GRAL. DIAZ,13024
ESC,1,2,23,1,CONCEPCION,CONCEPCION,COL.COE PORA - PASTORIL,76082840
ESC. BAS. Nº 4933 SAN JOSE OBRERO,1,2,24,1,CONCEPCION,CONCEPCION,COLONIA AQUIDABAN,0
ESC. BAS. Nº 2096,1,2,25,1,CONCEPCION,CONCEPCION,MARIA AUXILIADORA,2500
